주차장관리번호,주차장명,경도,위도,주차장구분,주차장유형,주차장지번주소,주차장도로명주소,주차구획수
19555,손기정체육공원 공영주차장,126.964774,37.555509,공영,노외,서울특별시 중구 만리동2가 6-1,서울특별시 중구 손기정로 101,162
19556,충현동 제1공영주차장,126.9645993,37.56519723,공영,노외,서울특별시 서대문구 경기대로 72,서울특별시 서대문구 충정로2가 78-13,63
19557,누상공영,126.9645831,37.58029069,공영,노외,서울특별시 종로구 누상동 166-50,서울특별시 종로구 누상동 166-50,45
19559,손기정체육공원 공영주차장,126.964442,37.556498,공영,노외,서울특별시 중구 만리동2가 6-1,서울특별시 중구 손기정로 101,197
19458,국제화재빌딩옆 공영주차장,126.975913,37.558302,공영,노상,서울특별시 중구 남대문로5가 145,서울특별시 중구 소월로,12
19460,국제화재빌딩옆 공영주차장,126.975762,37.559213,공영,노상,서울특별시 중구 남대문로5가 145,서울특별시 중구 소월로,12
19461,남대문화물조업 공영주차장,126.975697,37.560014,공영,노상,서울특별시 중구 남창동 51-4,서울특별시 중구 소월로/남대문로,19
19463,한진면세점앞 공영주차장,126.975289,37.556129,공영,노상,서울특별시 중구 남대문로5가 533,서울특별시 중구 소월로,18
19464,한진면세점앞 공영주차장,126.975141,37.557049,공영,노상,서울특별시 중구 남대문로5가 533,서울특별시 중구 소월로,18
19469,서소문삼성생명뒤 공영주차장,126.974908,37.562855,공영,노외,서울특별시 중구 서소문동 122,서울특별시 중구 서소문로12길,51
19471,고려(자주식),126.9747618,37.57048688,민영,노외,서울특별시 종로구 신문로1가  24-3외11필지,서울특별시 종로구 새문안로 91 (신문로1가),140
19473,용마,126.9743043,37.57111027,민영,노외,서울특별시 종로구 당주동 166,서울특별시 종로구 새문안로 5길 11-11,15
19474,연세세브란스빌딩뒤 공영주차장,126.974247,37.55834,공영,노상,서울특별시 중구 남대문로5가 217,서울특별시 중구 세종대로2길,17
19475,서소문삼성생명뒤 공영주차장,126.974241,37.561704,공영,노외,서울특별시 중구 서소문동 122,서울특별시 중구 서소문로12길,51
